Dataset,Model,Model variation,Number of individuals,RMSE mean,R2 mean,RMSE std,R2 std,RMSE mean by iteration,R2 mean by iteration,RMSE std by iteration,R2 std by iteration
dataset14_density,KNN,vector,1000,0.447202158,0.791296297,0.038710385,0.031776306,"{1: 0.3175243336693964, 2: 0.5148933929061908, 3: 0.3852828699462316, 4: 0.5055783299442012, 5: 0.41672406289604674, 6: 0.5160102502661112, 7: 0.41182769095682764, 8: 0.5330741900993885, 9: 0.4239043019688185}","{1: 0.8958580989595074, 2: 0.7243877213250797, 3: 0.8479224759076855, 4: 0.739846155838134, 5: 0.8245833598673549, 6: 0.728857685234647, 7: 0.8299824598084211, 8: 0.7112885124484103, 9: 0.8189402055117497}","{1: 0.018778342470045385, 2: 0.0693300344905033, 3: 0.03231836710891337, 4: 0.05142805623289053, 5: 0.038775072629178904, 6: 0.05326483985730069, 7: 0.03380880211246004, 8: 0.05559229137687599, 9: 0.03657596626938639}","{1: 0.018526909741251693, 2: 0.061282441818130494, 3: 0.023192987832863346, 4: 0.04789772092955586, 5: 0.025030490022566635, 6: 0.051627102044201845, 7: 0.022414769862704652, 8: 0.05439488597172958, 9: 0.024419150312651995}"
dataset14_density,DecisionTree,vector,1000,0.611647752,0.617140132,0.039965992,0.041121353,"{1: 0.5291695021345448, 2: 0.6557570175757065, 3: 0.5610219446344205, 4: 0.6571568227379857, 5: 0.5803547361081268, 6: 0.6668792722857402, 7: 0.5836907586834006, 8: 0.6805909660834153, 9: 0.5902087515008558}","{1: 0.7125324958006631, 2: 0.55616307002699, 3: 0.6771780943707963, 4: 0.5632712337029981, 5: 0.6588108221828979, 6: 0.5493312444546147, 7: 0.6576100721420856, 8: 0.5313089100176687, 9: 0.6480552418768987}","{1: 0.03727985713995845, 2: 0.048717748065337636, 3: 0.04525937735745571, 4: 0.038750627225437484, 5: 0.04828778925887099, 6: 0.036203107357916, 7: 0.04802206707614364, 8: 0.039233990087694764, 9: 0.047367435478291774}","{1: 0.04299239515463608, 2: 0.043417966433453366, 3: 0.05124013052700451, 4: 0.03748690162894251, 5: 0.05074343084073413, 6: 0.04766226400946414, 7: 0.05093162951841809, 8: 0.04939568369608085, 9: 0.05119096194226967}"
dataset14_density,RandomForest,vector,1000,0.42100797,0.814920626,0.038705739,0.029384536,"{1: 0.2871080563627649, 2: 0.4709969560326613, 3: 0.3616475866081968, 4: 0.4766267403148343, 5: 0.39332831344596636, 6: 0.49156176206029134, 7: 0.39490546877131943, 8: 0.5048978358539572, 9: 0.4079990121534297}","{1: 0.9155628846613197, 2: 0.7691985542120136, 3: 0.8654403501644282, 4: 0.7694306305965739, 5: 0.8434897446592344, 6: 0.7544788725310482, 7: 0.8433925660758659, 8: 0.7413034570341368, 9: 0.8319885767695891}","{1: 0.02592856616171209, 2: 0.07043393683229462, 3: 0.04019935851434575, 4: 0.045321650542565796, 5: 0.034545630044522546, 6: 0.046605603346771815, 7: 0.028204701908635787, 8: 0.05127609497704458, 9: 0.03038085376073211}","{1: 0.012973213300976592, 2: 0.057453061602155915, 3: 0.02705512266930916, 4: 0.0371050325082792, 5: 0.022366270119748264, 6: 0.04148284071209484, 7: 0.020370381479770217, 8: 0.04601626185314857, 9: 0.022418716600577728}"
dataset14_density,NeuralNetwork,vector,1000,0.390770656,0.838914804,0.046847995,0.033582576,"{1: 0.25833906337849627, 2: 0.45578708248227146, 3: 0.3244476722940769, 4: 0.4488289897019085, 5: 0.3570374040929455, 6: 0.4611550834015903, 7: 0.3542404769272236, 8: 0.4817122555815052, 9: 0.3753878735605635}","{1: 0.9310152233668862, 2: 0.7836812413930472, 3: 0.8913737414865481, 4: 0.795299426777454, 5: 0.8707778586997084, 6: 0.7827525059960373, 7: 0.8741508053647611, 8: 0.7636289688616567, 9: 0.8575534664810945}","{1: 0.016355752886833313, 2: 0.06591963065853312, 3: 0.036451441000564785, 4: 0.05698988571100754, 5: 0.04221683504490114, 6: 0.06768595245395825, 7: 0.03679122532403981, 8: 0.06962116314038293, 9: 0.044370136973800434}","{1: 0.01359449616165117, 2: 0.052096861525083395, 3: 0.023735739350477677, 4: 0.043509180678689495, 5: 0.02479464439988447, 6: 0.057626957009613095, 7: 0.02022600228492989, 8: 0.06087793034773918, 9: 0.027803986244296523}"
dataset16_density,KNN,vector,1000,0.577815921,0.646531335,0.037019354,0.043866145,"{1: 0.5973146913625931, 2: 0.6132363213695372, 3: 0.5420967721117436, 4: 0.5940136339387971, 5: 0.5309626580867348, 6: 0.5940382593731379, 7: 0.5410497098398309, 8: 0.6007437702242229, 9: 0.5486209242796832, 10: 0.6011970892120878, 11: 0.5413883835606285, 12: 0.6065582097592428, 13: 0.5493956563795177, 14: 0.6045833029110931, 15: 0.5549320578434475, 16: 0.6048258916604082, 17: 0.5571217825859512, 18: 0.6077879787734612, 19: 0.5513650562662467, 20: 0.6030307895978186, 21: 0.5557911575749268, 22: 0.6063223844910279, 23: 0.5533253032280732, 24: 0.6105725204209689, 25: 0.5552958072847585, 26: 0.60883494801871, 27: 0.5568583208031956, 28: 0.6096302552314118, 29: 0.5557680642093712}","{1: 0.6294677866166023, 2: 0.6039990648548725, 3: 0.6885936924224886, 4: 0.6276903263746866, 5: 0.7021237298421472, 6: 0.6262977503115817, 7: 0.6891169432722732, 8: 0.6206741477616928, 9: 0.681580347030771, 10: 0.6171564010650734, 11: 0.690019840513924, 12: 0.6098468497542177, 13: 0.6803793146726664, 14: 0.6156781326627155, 15: 0.6742593045811963, 16: 0.6159433775629035, 17: 0.6706928229520018, 18: 0.6101978317386199, 19: 0.6784070401674597, 20: 0.6141829136374339, 21: 0.6713909495374283, 22: 0.6116296784502834, 23: 0.6765583408125256, 24: 0.6068676359549764, 25: 0.6743909483940446, 26: 0.6085671359305423, 27: 0.6724106095711772, 28: 0.6078807125714073, 29: 0.6734050773470687}","{1: 0.039413248730346025, 2: 0.03056525378389839, 3: 0.04297215545202688, 4: 0.031841168346289174, 5: 0.0477422547799787, 6: 0.03739112502056055, 7: 0.048817006001183536, 8: 0.037405911359664666, 9: 0.04555428277301169, 10: 0.03653840162688858, 11: 0.04498066623938318, 12: 0.040180809450685424, 13: 0.04005578285887557, 14: 0.034625791020447175, 15: 0.04267698537050517, 16: 0.03746654559723254, 17: 0.040032118545760734, 18: 0.03640605955352087, 19: 0.03986848629210626, 20: 0.03671452520267896, 21: 0.042255299999773566, 22: 0.035710296286024214, 23: 0.03482213604459358, 24: 0.042700719143409296, 25: 0.042817723281617974, 26: 0.03956837502090607, 27: 0.04178720737003806, 28: 0.03824906062844022, 29: 0.038351803322636054}","{1: 0.050112031990198445, 2: 0.04855053389368201, 3: 0.04709613242764423, 4: 0.042849609652156055, 5: 0.05058863496643425, 6: 0.05011896024677746, 7: 0.05789986242548822, 8: 0.04524101025905558, 9: 0.05475933357318246, 10: 0.046466260843816845, 11: 0.049416213645169335, 12: 0.05095824241470462, 13: 0.04949295716757021, 14: 0.04271764545339722, 15: 0.053219289986853706, 16: 0.043871233012420414, 17: 0.05078890398811936, 18: 0.04584764428986178, 19: 0.04926795990430783, 20: 0.04502486301751272, 21: 0.05129048156696977, 22: 0.0449033096787488, 23: 0.04204472132645133, 24: 0.04925260889553517, 25: 0.04963454103721182, 26: 0.0448355267524123, 27: 0.05034524694052763, 28: 0.04316494477145845, 29: 0.04529715212022237}"
dataset16_density,DecisionTree,vector,1000,0.684438143,0.504240184,0.055043868,0.083442505,"{1: 0.7246474579449654, 2: 0.7077041559155118, 3: 0.6857385198332496, 4: 0.6858410916838709, 5: 0.6733298572636465, 6: 0.6848043062287295, 7: 0.6703785121549435, 8: 0.6909310658455936, 9: 0.6723862570693433, 10: 0.6822501955792164, 11: 0.6742561772754037, 12: 0.68785708395519, 13: 0.6721385460452882, 14: 0.6912071738899349, 15: 0.6779094184786639, 16: 0.6903508776507661, 17: 0.6733909380711136, 18: 0.6886915339424291, 19: 0.6736674920930832, 20: 0.6885910354501773, 21: 0.6702898234118024, 22: 0.6941229391108388, 23: 0.6715715595027157, 24: 0.6927614948465994, 25: 0.6788238209170668, 26: 0.695481885432474, 27: 0.6727311986504254, 28: 0.6990105867376271, 29: 0.6778411427935526}","{1: 0.45227807242743356, 2: 0.47131817104118784, 3: 0.5006522920969659, 4: 0.5019924995469252, 5: 0.5217048067115165, 6: 0.5023941366997416, 7: 0.5242499837646903, 8: 0.4968332808265453, 9: 0.5223708830546826, 10: 0.5059973109298799, 11: 0.5188935523284262, 12: 0.4975198456174061, 13: 0.5218176164993448, 14: 0.4964055268286372, 15: 0.514521491022558, 16: 0.49818139512096443, 17: 0.5193502628759397, 18: 0.4979228646602968, 19: 0.5206112024827799, 20: 0.4943654772957732, 21: 0.5228903560409088, 22: 0.48906536968008574, 23: 0.5223899206326275, 24: 0.49211086195578446, 25: 0.5135904090138264, 26: 0.4866139926579904, 27: 0.5215075318988471, 28: 0.4823880272100046, 29: 0.5130281823040155}","{1: 0.05132623592057858, 2: 0.051915476877110504, 3: 0.05423172000346589, 4: 0.05552237551299169, 5: 0.05468185436857607, 6: 0.05249292466456669, 7: 0.05818661197846086, 8: 0.052192253861225044, 9: 0.05812262683669434, 10: 0.05364305747601092, 11: 0.05420288058690244, 12: 0.0558006535126609, 13: 0.050279592781265, 14: 0.046662754156984315, 15: 0.05325193016379168, 16: 0.0559118848641447, 17: 0.049700741617552884, 18: 0.05639230103962155, 19: 0.04283435765064809, 20: 0.058955822361046135, 21: 0.05009038997786444, 22: 0.05661081545185466, 23: 0.05414792574599374, 24: 0.060573875346445, 25: 0.056168425148456984, 26: 0.0601908810825602, 27: 0.052606810937003826, 28: 0.059429851477545884, 29: 0.054429584103336454}","{1: 0.09514942007449935, 2: 0.0853465888489726, 3: 0.08662323442532029, 4: 0.08336960532356881, 5: 0.07996724466242514, 6: 0.08116903723324527, 7: 0.08221839930139498, 8: 0.07836272538578117, 9: 0.08598158516030885, 10: 0.07804832915353743, 11: 0.08211619794356063, 12: 0.08207258753438304, 13: 0.07754198446929, 14: 0.07356970573151234, 15: 0.07961234595512935, 16: 0.08069470488041271, 17: 0.07550566245066159, 18: 0.08489959931466334, 19: 0.06814377979965351, 20: 0.0919924058230742, 21: 0.0720817402017164, 22: 0.08758612780121436, 23: 0.08222655136215754, 24: 0.08964318391852273, 25: 0.08043002105161783, 26: 0.09144241932447353, 27: 0.080577734013425, 28: 0.08937723967879894, 29: 0.0834323230103625}"
dataset16_density,RandomForest,vector,1000,0.569645145,0.656134378,0.049540979,0.055124569,"{1: 0.6015059858159679, 2: 0.6024339066347285, 3: 0.5409794135651775, 4: 0.5782877525227387, 5: 0.5326418310930521, 6: 0.5812811755683264, 7: 0.5372086344094353, 8: 0.5879934488588472, 9: 0.5443213094960054, 10: 0.5827157518386705, 11: 0.53910745533554, 12: 0.589212987854458, 13: 0.5446705251708132, 14: 0.5920109789345932, 15: 0.5486248139289355, 16: 0.593137757712915, 17: 0.5487680700184696, 18: 0.5938177396239034, 19: 0.5463059888527663, 20: 0.5902871974748046, 21: 0.5478762307845637, 22: 0.5938494261420515, 23: 0.5505722126860031, 24: 0.595349596126413, 25: 0.5547524420833833, 26: 0.5991419499099684, 27: 0.5520108338490984, 28: 0.5985360806740776, 29: 0.5523077152440493}","{1: 0.6248380757384095, 2: 0.6178396542450991, 3: 0.6892880295421244, 4: 0.6454441923214159, 5: 0.6991298629520605, 6: 0.6409090334695169, 7: 0.6929211114327403, 8: 0.6354656242796253, 9: 0.6865427110110961, 10: 0.6392783546379808, 11: 0.6922321439883536, 12: 0.6311941623345237, 13: 0.6858818159135062, 14: 0.6309568905823987, 15: 0.6820289793773149, 16: 0.6294377172212454, 17: 0.6808572164059381, 18: 0.6269130570130815, 19: 0.6845729131989067, 20: 0.6293601409030396, 21: 0.6809083984468017, 22: 0.6265827492893192, 23: 0.6792083091135626, 24: 0.6254572743805744, 25: 0.6749444389091972, 26: 0.6201303452186813, 27: 0.6778134574050498, 28: 0.6209319318707726, 29: 0.6768283609535353}","{1: 0.03428860328204957, 2: 0.03892521364825655, 3: 0.04798954297759571, 4: 0.05067623708511077, 5: 0.05641953823282592, 6: 0.05249290033566612, 7: 0.056741614845339745, 8: 0.05191026629806762, 9: 0.05109646219670267, 10: 0.051044922348087794, 11: 0.05222183411529206, 12: 0.04934396382688067, 13: 0.048335277262892995, 14: 0.04745601352043132, 15: 0.04722036450735957, 16: 0.05113106992176527, 17: 0.0437811376346512, 18: 0.05201171450781266, 19: 0.04419414718919327, 20: 0.05249980476143413, 21: 0.04805161326706572, 22: 0.048860465496656055, 23: 0.04623759436589187, 24: 0.054882775818898076, 25: 0.047494711123408244, 26: 0.05124015913445343, 27: 0.048915651479673215, 28: 0.050753767393569654, 29: 0.04645810205758212}","{1: 0.043208070404553, 2: 0.05007823839656259, 3: 0.05270177506118695, 4: 0.06082290749212288, 5: 0.05991491420190764, 6: 0.06331451030308158, 7: 0.061019006643898775, 8: 0.0585058544847331, 9: 0.054874223974497996, 10: 0.0583870246151132, 11: 0.05385534921889627, 12: 0.05750229727202523, 13: 0.05149980364778431, 14: 0.05232461300469186, 15: 0.050675056962314585, 16: 0.05821983207072355, 17: 0.047711431386197295, 18: 0.05964588557575371, 19: 0.04699931925390473, 20: 0.058626171072288465, 21: 0.05035336667422162, 22: 0.05666341412378785, 23: 0.05050348241379886, 24: 0.06064386208985195, 25: 0.05172050480379784, 26: 0.05702516936456346, 27: 0.05360292096809204, 28: 0.05702089645737489, 29: 0.05126118632655716}"
dataset16_density,NeuralNetwork,vector,1000,0.645991692,0.55724136,0.060642876,0.075570044,"{1: 0.6838733813049869, 2: 0.6814147453619903, 3: 0.6106241978957115, 4: 0.6549752717170474, 5: 0.6001688761716883, 6: 0.6623384974221782, 7: 0.6034552860405551, 8: 0.668251284868347, 9: 0.6163169138317973, 10: 0.6679803118491363, 11: 0.6065301871348147, 12: 0.6726595012902294, 13: 0.6130844156198404, 14: 0.6762081657647794, 15: 0.6226667232990672, 16: 0.6744108892574151, 17: 0.6207041953895696, 18: 0.6743541788038876, 19: 0.619030911318889, 20: 0.6743244448740459, 21: 0.6210087133014982, 22: 0.6798063182195025, 23: 0.6196279996571012, 24: 0.6787915592316776, 25: 0.6262542578025807, 26: 0.6778381290191118, 27: 0.6243555100340726, 28: 0.6797728729648611, 29: 0.6229313267561474}","{1: 0.5150259042043459, 2: 0.5086533814375578, 3: 0.6040507966404143, 4: 0.5455231532427381, 5: 0.6170578111840106, 6: 0.5334273833184481, 7: 0.6130194315477056, 8: 0.5286743821675532, 9: 0.5983915444944503, 10: 0.5251493373258306, 11: 0.610811876589385, 12: 0.5184524151260732, 13: 0.6019337656746224, 14: 0.5172189064876346, 15: 0.5898308839413764, 16: 0.5201419600316898, 17: 0.5908562893286727, 18: 0.5186191874709982, 19: 0.5950796651482573, 20: 0.5158850786726578, 21: 0.5893835915968102, 22: 0.5097569945810335, 23: 0.5940308143313704, 24: 0.5124716579344817, 25: 0.5861984292382325, 26: 0.5130104966824207, 27: 0.5880290064027326, 28: 0.5104734052136255, 29: 0.5888418865148415}","{1: 0.05384467997148954, 2: 0.06044257737936511, 3: 0.06486160482733996, 4: 0.0589659187559707, 5: 0.07452777753204473, 6: 0.06597993882439425, 7: 0.06813800601017414, 8: 0.059434219886448, 9: 0.06592393679536941, 10: 0.05727820690678852, 11: 0.0599489560234829, 12: 0.05784367904512773, 13: 0.058554623934834016, 14: 0.0578433227062785, 15: 0.0579075864496522, 16: 0.061277810071570404, 17: 0.061402291100786856, 18: 0.054622212310022754, 19: 0.058953973985068735, 20: 0.056677436406835785, 21: 0.0621428817692676, 22: 0.05831189531356982, 23: 0.057095814442444395, 24: 0.05973341494281443, 25: 0.0606771913182257, 26: 0.05930558082667383, 27: 0.06345975885655022, 28: 0.055589128043028735, 29: 0.06191157202646713}","{1: 0.0697220271883143, 2: 0.09049900532985759, 3: 0.07716197788702266, 4: 0.07936722009227375, 5: 0.08881054168469246, 6: 0.08761848471334953, 7: 0.0788029203158436, 8: 0.07970877497640028, 9: 0.0761878574143479, 10: 0.08110527100236298, 11: 0.06707730806862786, 12: 0.08054016764257113, 13: 0.06775944322370646, 14: 0.0792670358965715, 15: 0.06953765928063656, 16: 0.08257520239354053, 17: 0.07356998481201198, 18: 0.07592077863560898, 19: 0.06643092303999006, 20: 0.07806780460685345, 21: 0.0739203637036379, 22: 0.08194968466907655, 23: 0.06534138469235916, 24: 0.080866627475302, 25: 0.06821005982573422, 26: 0.07898161050148066, 27: 0.07401218949854883, 28: 0.07793528511251688, 29: 0.07297159198686921}"
dataset15_density,KNN,vector,1000,0.5735640822873644,0.652171532054124,0.0365312175302026,0.0428184702536947,"{1: 0.5973146913625931, 2: 0.6132363213695372, 3: 0.5420967721117436, 4: 0.5940136339387971, 5: 0.5309626580867348, 6: 0.5940382593731379, 7: 0.5410497098398309, 8: 0.6007437702242229, 9: 0.5486209242796832}","{1: 0.6294677866166023, 2: 0.6039990648548725, 3: 0.6885936924224886, 4: 0.6276903263746866, 5: 0.7021237298421472, 6: 0.6262977503115817, 7: 0.6891169432722732, 8: 0.6206741477616928, 9: 0.681580347030771}","{1: 0.039413248730346025, 2: 0.03056525378389839, 3: 0.04297215545202688, 4: 0.031841168346289174, 5: 0.0477422547799787, 6: 0.03739112502056055, 7: 0.048817006001183536, 8: 0.037405911359664666, 9: 0.04555428277301169}","{1: 0.050112031990198445, 2: 0.04855053389368201, 3: 0.04709613242764423, 4: 0.042849609652156055, 5: 0.05058863496643425, 6: 0.05011896024677746, 7: 0.05789986242548822, 8: 0.04524101025905558, 9: 0.05475933357318246}"
dataset15_density,DecisionTree,vector,1000,0.6806237858150902,0.509902790327454,0.051703076906747,0.0788735241979712,"{1: 0.7073817527081856, 2: 0.7068082267227849, 3: 0.667261020045352, 4: 0.6912793076557862, 5: 0.6569282512160951, 6: 0.6885954333583654, 7: 0.6560249747415711, 8: 0.6955122708527086, 9: 0.6558228350349627}","{1: 0.48002175948517556, 2: 0.47337777796480784, 3: 0.5277990996158806, 4: 0.4931592831682746, 5: 0.5438599138742874, 6: 0.49682197350655866, 7: 0.5418334892855249, 8: 0.48857679646532476, 9: 0.5436750195812516}","{1: 0.037677834364161215, 2: 0.05213917188336512, 3: 0.04662500458573237, 4: 0.05480859138586714, 5: 0.05656320097459826, 6: 0.04853440417404917, 7: 0.06286487934850547, 8: 0.055983055062908064, 9: 0.05885844290807272}","{1: 0.06749065003413789, 2: 0.07877800335814907, 3: 0.07034034703448669, 4: 0.08740469045262943, 5: 0.0780177032627468, 6: 0.07879023432242281, 7: 0.09266426966186977, 8: 0.09015383915262248, 9: 0.08814724392175952}"
dataset15_density,RandomForest,vector,1000,0.5762215260209438,0.6484079669701307,0.0485538056717747,0.055981656013315,"{1: 0.6186840147585732, 2: 0.6170684387703174, 3: 0.545315746665544, 4: 0.5920211240011919, 5: 0.5369511324051196, 6: 0.5889464531587916, 7: 0.5422231604529876, 8: 0.5971885749541874, 9: 0.5475950890217818}","{1: 0.6024521578443335, 2: 0.5996114327651638, 3: 0.6840950961740236, 4: 0.6290065225168372, 5: 0.6944234421651243, 6: 0.6320843224856786, 7: 0.6870327835669735, 8: 0.6246670476951414, 9: 0.6822988975179012}","{1: 0.04233457724952354, 2: 0.03564089487878758, 3: 0.049441531844577176, 4: 0.04627468445375794, 5: 0.05692515902748949, 6: 0.046277669322217496, 7: 0.058140007954634386, 8: 0.04534569548534276, 9: 0.05509143089882698}","{1: 0.05538082276443134, 2: 0.04706579432820836, 3: 0.0555204115578867, 4: 0.05708995688493295, 5: 0.06026381382222124, 6: 0.05714195178895519, 7: 0.06460470616402332, 8: 0.05198606809711957, 9: 0.06125401523890975}"
dataset15_density,NeuralNetwork,vector,1000,0.5991081364844987,0.6182753765384823,0.06503781089520104,0.07920618551145796,"{1: 0.6195887851139312, 2: 0.6351280968863029, 3: 0.5620965407858256, 4: 0.6221891596381134, 5: 0.5578246624932143, 6: 0.627814481770637, 7: 0.5632575389795376, 8: 0.6366805923179337, 9: 0.5673933703749926}","{1: 0.6019441847164645, 2: 0.5730507330468424, 3: 0.6637625211373372, 4: 0.5873369823072906, 5: 0.670193878908861, 6: 0.5782221921397251, 7: 0.6620617248713749, 8: 0.5701889090884448, 9: 0.657717262629999}","{1: 0.05382210518924915, 2: 0.06167051026799577, 3: 0.06352098017125672, 4: 0.06588306424456936, 5: 0.06630064300998342, 6: 0.07460399378160776, 7: 0.06834018681986528, 8: 0.06818881502619373, 9: 0.07053540670656826}","{1: 0.05937461254586986, 2: 0.08537914365623381, 3: 0.0730608805547756, 4: 0.08956995252562895, 5: 0.07329778845907245, 6: 0.09954435728220891, 7: 0.07705560396796865, 8: 0.09127140112079636, 9: 0.08076363935518532}"
