,id,life_threshold,death_threshold,size,density,iterations,file,density_evolution
0,0,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_0,"[0.51, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1,1,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_1,"[0.43, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2,2,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_2,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3,3,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_3,"[0.55, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4,4,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_4,"[0.55, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5,5,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_5,"[0.47, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6,6,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_6,"[0.53, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7,7,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_7,"[0.59, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,8,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_8,"[0.52, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9,9,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_9,"[0.52, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10,10,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_10,"[0.51, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
11,11,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_11,"[0.51, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
12,12,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_12,"[0.46, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
13,13,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_13,"[0.4, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
14,14,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_14,"[0.53, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
15,15,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_15,"[0.42, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
16,16,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_16,"[0.48, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
17,17,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_17,"[0.54, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
18,18,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_18,"[0.48, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
19,19,0,0,10,0.5,10,./data2/dataset8/individuals/all_live_19,"[0.48, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
20,0,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_0,"[0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,1,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_1,"[0.44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,2,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_2,"[0.46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,3,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_3,"[0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,4,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_4,"[0.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25,5,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_5,"[0.47, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,6,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_6,"[0.41, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,7,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_7,"[0.57, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,8,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_8,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29,9,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_9,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,10,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_10,"[0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,11,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_11,"[0.49, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32,12,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_12,"[0.52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,13,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_13,"[0.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34,14,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_14,"[0.56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,15,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_15,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
36,16,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_16,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
37,17,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_17,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
38,18,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_18,"[0.54, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,19,9,9,10,0.5,10,./data2/dataset8/individuals/all_die_19,"[0.64, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
